待修复,编号,测试人员,维修人员,日期,系统,功能优化,快显消息管理,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,,,,
FALSE,,清云,,2020/5/9,Android,逻辑错误,本地短信接管,发送快显消息-消息模板库，我的模板选中模板左滑，点击删除按钮，点击弹出框的确定按钮，左滑按钮没有消失，出现在下一个模板中,,一般,验证通过,,,"测试时间：2020.05.11 09:51
测试验证通过，待产品确认",,,,,,
TRUE,,东蔚,,2020/5/9,iOS,界面优化,快显消息管理,发送快显消息预览弹窗，应有关闭按钮。补充信息为设计稿,,一般,验证通过,,,"测试时间：2020.05.11 17:51
测试验证已修复",,,,,,
TRUE,,东蔚,,2020/5/9,iOS,界面优化,快显消息管理,首次进入我的发送记录强指引，第二页右上角加上跳过按钮。,非bug,一般,验证不通过,,,"测试时间：2020.05.11 11:01
跳过的位置不对",,,,,,
FALSE,,东蔚,,2020/5/9,Android,界面优化,本地短信接管,分隔线粗细不一致,,一般,验证通过,,,"测试时间：2020.05.11 09:55
测试验证通过，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/9,Android,逻辑错误,快显消息管理,已经设置二次认证方式后，再次点击输入框还是提示引导设置认证方式,主路径问题,最重要,待修复,,,,,,,,,
FALSE,,清云,,2020/5/9,Android,逻辑错误,本地短信接管,消息管理-通知消息，选中消息移出分组，在消息主界面没有看到，重新进入通知消息分组，移出分组的消息还存在,,最重要,已修复待验证,,,"测试时间：2020.05.12 15:21
编辑状态下，移除分组失败",,,,,,
FALSE,,丹丽,,2020/5/9,Android,逻辑错误,快显消息管理,"已设置二次认证后，点击发送按钮就会弹密码输入弹窗
期望：点击【发送快显消息】进入发送界面才弹窗，而且一次认证半小时有效",主路径问题,最重要,验证通过,,,"测试时间：2020.05.12 15:32
测试验证通过，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/9,Android,逻辑错误,快显消息管理,"发送完快显消息后，查看我的发送记录，记录中没有显示发送的消息。
（怀疑是我的发送记录没有实时同步导致的）",主路径问题,最重要,待修复,,,接口同步慢，非bug,,,,,,
FALSE,,丹丽,,2020/5/9,Android,逻辑错误,快显消息管理,发送快显消息，点击【确认发送】后，跳转到消息详情界面，一直显示“发送中，请耐心等待...”，发送异网用户也没提示发送失败，引导用户发送普通短信。,主路径问题,最重要,待修复,,,,,,,,,
FALSE,,,,2020/5/9,Android,兼容性问题,快显消息管理,快显消息管理——我的发送记录中消息之间的分隔线时有时无,主路径问题,一般,未复现,,,未复现，请提供出现问题手机型号及测试人员名称,,,,,,
